time,cases,negatives,hosp,deaths
1/1/2020,0,114,0,0
1/2/2020,0,3,0,0
1/3/2020,0,1,0,0
1/4/2020,1,27,0,0
1/5/2020,9,78,0,0
1/6/2020,0,7,0,0
1/7/2020,1,7,0,0
1/8/2020,1,4,0,0
1/9/2020,0,1,0,0
1/10/2020,0,3,0,0
1/11/2020,0,8,0,0
1/12/2020,1,5,1,0
1/13/2020,0,2,0,0
1/14/2020,0,34,0,0
1/15/2020,0,1,0,0
1/16/2020,0,7,0,0
1/17/2020,0,133,0,1
1/18/2020,0,4,0,0
1/19/2020,1,1,0,0
1/20/2020,0,3,1,0
1/21/2020,0,3,0,0
1/22/2020,0,1,0,0
1/23/2020,0,1,1,0
1/24/2020,1,2,0,0
1/25/2020,0,0,0,0
1/26/2020,1,0,0,0
1/27/2020,0,1,2,0
1/28/2020,0,1,0,0
1/29/2020,0,1,0,0
1/30/2020,0,3,0,0
1/31/2020,0,2,1,0
2/1/2020,1,1,1,0
2/2/2020,0,1,1,0
2/3/2020,0,2,0,0
2/4/2020,0,1,2,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,1,2,0
2/8/2020,0,1,2,0
2/9/2020,0,9,0,0
2/10/2020,0,16,1,0
2/11/2020,0,21,4,0
2/12/2020,1,1,1,0
2/13/2020,0,39,1,0
2/14/2020,0,0,2,0
2/15/2020,0,1,2,0
2/16/2020,0,1,0,0
2/17/2020,0,0,3,0
2/18/2020,0,3,4,0
2/19/2020,1,3,6,0
2/20/2020,0,40,3,0
2/21/2020,1,0,4,0
2/22/2020,1,3,4,0
2/23/2020,1,2,5,0
2/24/2020,2,3,6,0
2/25/2020,1,2,3,0
2/26/2020,2,2,2,2
2/27/2020,3,3,12,0
2/28/2020,10,36,9,2
2/29/2020,18,24,8,1
3/1/2020,16,52,8,3
3/2/2020,31,133,19,3
3/3/2020,24,169,13,3
3/4/2020,38,156,16,2
3/5/2020,51,241,31,4
3/6/2020,39,386,20,6
3/7/2020,38,309,23,1
3/8/2020,61,379,18,5
3/9/2020,61,780,28,4
3/10/2020,109,1284,31,3
3/11/2020,130,1800,39,3
3/12/2020,178,2899,45,4
3/13/2020,215,3200,30,3
3/14/2020,155,1774,37,4
3/15/2020,108,1347,42,6
3/16/2020,299,3925,61,11
3/17/2020,268,3782,41,9
3/18/2020,287,3763,56,5
3/19/2020,332,3518,58,14
3/20/2020,302,3184,64,13
3/21/2020,196,1816,53,8
3/22/2020,189,1527,49,17
3/23/2020,463,4159,98,12
3/24/2020,436,4158,80,13
3/25/2020,439,3951,79,16
3/26/2020,433,3497,94,27
3/27/2020,457,3353,89,16
3/28/2020,284,2029,84,21
3/29/2020,239,1360,83,18
3/30/2020,562,3963,105,13
3/31/2020,462,3762,75,17
4/1/2020,449,3794,83,20
4/2/2020,394,3967,88,30
4/3/2020,415,3987,88,29
4/4/2020,206,2070,64,29
4/5/2020,171,1575,67,27
4/6/2020,394,4255,62,25
4/7/2020,410,4360,68,24
4/8/2020,345,4112,63,15
4/9/2020,360,3612,74,18
4/10/2020,309,3642,63,17
4/11/2020,154,1745,50,23
4/12/2020,89,1225,32,15
4/13/2020,374,3584,50,21
4/14/2020,304,3802,47,16
4/15/2020,326,3704,68,10
4/16/2020,308,3734,55,21
4/17/2020,346,4218,54,19
4/18/2020,174,2157,39,16
4/19/2020,97,1752,41,23
4/20/2020,333,4212,44,19
4/21/2020,270,4071,54,15
4/22/2020,282,4272,49,9
4/23/2020,271,4170,40,13
4/24/2020,350,5028,34,15
4/25/2020,166,2753,43,17
4/26/2020,112,1761,36,20
4/27/2020,369,4760,32,11
4/28/2020,291,4887,32,10
4/29/2020,327,4814,51,8
4/30/2020,247,4568,25,8
5/1/2020,314,4815,36,13
5/2/2020,111,2356,29,12
5/3/2020,84,1571,17,12
5/4/2020,386,5382,42,11
5/5/2020,257,5314,34,13
5/6/2020,291,5191,38,13
5/7/2020,266,4472,26,14
5/8/2020,251,5069,27,16
5/9/2020,127,2109,22,11
5/10/2020,60,1412,27,16
5/11/2020,294,5176,28,6
5/12/2020,249,5186,20,16
5/13/2020,307,5110,24,6
5/14/2020,270,5196,22,8
5/15/2020,280,5522,24,13
5/16/2020,118,3167,16,8
5/17/2020,64,2277,14,12
5/18/2020,319,7687,24,6
5/19/2020,297,7354,40,7
5/20/2020,270,6197,24,4
5/21/2020,295,4671,25,9
5/22/2020,311,5246,28,5
5/23/2020,149,3120,25,10
5/24/2020,103,2616,23,9
5/25/2020,149,2988,35,4
5/26/2020,395,7917,26,6
5/27/2020,348,6361,28,11
5/28/2020,302,5834,28,4
5/29/2020,345,5780,29,6
5/30/2020,148,3553,17,2
5/31/2020,100,2510,17,6
6/1/2020,410,6762,32,5
6/2/2020,414,7305,18,6
6/3/2020,382,6239,21,5
6/4/2020,327,5405,20,11
6/5/2020,391,6832,32,5
6/6/2020,161,4185,17,4
6/7/2020,109,2792,29,11
6/8/2020,510,8919,36,10
6/9/2020,408,9617,36,5
6/10/2020,366,9969,33,1
6/11/2020,397,9343,33,12
6/12/2020,388,7775,19,5
6/13/2020,193,5660,30,4
6/14/2020,136,3549,19,2
6/15/2020,513,10268,39,2
6/16/2020,493,10954,35,6
6/17/2020,459,9379,34,6
6/18/2020,536,8110,23,7
6/19/2020,516,8621,31,7
6/20/2020,315,6382,27,4
6/21/2020,191,3369,29,5
6/22/2020,720,11458,47,5
6/23/2020,619,11477,39,9
6/24/2020,668,12105,42,3
6/25/2020,662,10926,39,4
6/26/2020,622,11614,43,11
6/27/2020,487,7628,36,7
6/28/2020,263,4515,33,4
6/29/2020,986,15191,35,5
6/30/2020,916,14801,49,6
7/1/2020,876,13082,30,6
7/2/2020,886,12669,43,10
7/3/2020,451,8980,34,9
7/4/2020,241,4169,25,7
7/5/2020,303,4212,27,7
7/6/2020,984,15613,48,9
7/7/2020,1049,15361,44,9
7/8/2020,974,13476,42,8
7/9/2020,864,10684,44,16
7/10/2020,840,12013,42,9
7/11/2020,543,8858,41,6
7/12/2020,338,4598,38,5
7/13/2020,1090,15796,65,9
7/14/2020,968,15079,53,13
7/15/2020,979,14010,42,3
7/16/2020,847,13289,44,6
7/17/2020,880,14219,61,7
7/18/2020,532,8840,48,8
7/19/2020,339,4629,51,9
7/20/2020,988,15904,55,11
7/21/2020,1083,14762,61,12
7/22/2020,1007,13830,63,8
7/23/2020,868,12595,38,9
7/24/2020,789,13854,38,13
7/25/2020,474,8789,39,12
7/26/2020,313,4577,46,15
7/27/2020,977,15571,67,8
7/28/2020,945,14949,51,13
7/29/2020,879,14102,48,15
7/30/2020,732,12740,63,13
7/31/2020,680,13193,53,15
8/1/2020,415,8936,39,16
8/2/2020,234,5145,30,9
8/3/2020,842,16583,54,11
8/4/2020,838,16104,64,19
8/5/2020,724,14505,45,20
8/6/2020,711,14191,39,8
8/7/2020,652,13951,41,18
8/8/2020,345,9550,42,9
8/9/2020,197,5180,31,11
8/10/2020,794,18081,49,11
8/11/2020,699,16299,43,9
8/12/2020,607,16382,35,14
8/13/2020,618,14526,38,11
8/14/2020,624,14311,33,16
8/15/2020,348,9030,28,11
8/16/2020,163,5312,29,11
8/17/2020,657,16400,55,7
8/18/2020,598,15857,43,8
8/19/2020,602,15821,40,12
8/20/2020,477,13463,40,8
8/21/2020,510,13290,30,5
8/22/2020,268,9879,18,5
8/23/2020,213,5727,27,4
8/24/2020,618,17330,41,6
8/25/2020,565,15830,35,6
8/26/2020,547,15636,28,16
8/27/2020,479,12600,32,10
8/28/2020,446,12873,25,9
8/29/2020,316,8971,24,4
8/30/2020,156,4927,19,5
8/31/2020,558,17003,24,9
9/1/2020,513,16396,26,6
9/2/2020,469,14796,34,7
9/3/2020,506,12919,21,6
9/4/2020,472,12140,16,1
9/5/2020,292,8054,33,10
9/6/2020,155,5047,20,5
9/7/2020,203,5921,36,4
9/8/2020,536,19587,18,2
9/9/2020,497,15939,23,4
9/10/2020,445,13259,27,7
9/11/2020,453,11924,34,7
9/12/2020,231,7460,25,7
9/13/2020,136,4657,16,5
9/14/2020,461,14000,34,7
9/15/2020,455,15583,38,9
9/16/2020,449,14037,29,8
9/17/2020,449,13000,38,5
9/18/2020,526,12270,44,7
9/19/2020,322,9594,25,5
9/20/2020,197,5359,24,9
9/21/2020,647,18339,41,7
9/22/2020,557,16829,28,11
9/23/2020,555,15340,37,6
9/24/2020,557,14616,37,6
9/25/2020,507,13404,30,8
9/26/2020,317,9708,25,4
9/27/2020,199,5464,19,7
9/28/2020,750,19613,29,7
9/29/2020,603,17935,38,6
9/30/2020,576,16347,27,8
10/1/2020,552,14813,30,9
10/2/2020,595,16282,24,7
10/3/2020,389,11932,25,6
10/4/2020,266,6747,33,4
10/5/2020,857,23871,38,8
10/6/2020,679,22586,34,11
10/7/2020,696,20493,36,5
10/8/2020,665,17717,30,7
10/9/2020,668,17087,39,8
10/10/2020,375,11804,35,3
10/11/2020,248,5814,34,3
10/12/2020,836,22005,58,14
10/13/2020,723,20839,36,5
10/14/2020,736,19244,53,9
10/15/2020,732,17396,35,5
10/16/2020,631,17349,39,5
10/17/2020,399,11560,36,6
10/18/2020,295,6039,44,11
10/19/2020,880,23150,46,10
10/20/2020,882,22453,57,6
10/21/2020,753,19198,32,10
10/22/2020,807,17878,42,11
10/23/2020,791,17305,50,7
10/24/2020,584,11915,37,11
10/25/2020,333,6032,44,8
10/26/2020,1091,24384,61,9
10/27/2020,1031,22702,43,10
10/28/2020,1061,20297,55,12
10/29/2020,1206,19475,72,4
10/30/2020,1100,17494,50,11
10/31/2020,764,11941,48,16
11/1/2020,544,6371,46,8
11/2/2020,1618,25719,66,5
11/3/2020,1511,22875,65,11
11/4/2020,1786,21260,67,13
11/5/2020,2024,21947,58,12
11/6/2020,1882,19997,75,14
11/7/2020,1365,14716,78,5
11/8/2020,763,6898,69,11
11/9/2020,2581,28496,107,11
11/10/2020,2253,27073,90,16
11/11/2020,2041,20557,74,7
11/12/2020,2764,24401,76,15
11/13/2020,2469,23900,113,12
11/14/2020,1859,17044,84,16
11/15/2020,1156,8841,85,14
11/16/2020,3196,33230,119,17
11/17/2020,3040,33540,117,13
11/18/2020,2885,31715,122,14
11/19/2020,2882,30702,121,12
11/20/2020,3083,31895,130,18
11/21/2020,1821,22309,105,24
11/22/2020,1360,12008,100,18
11/23/2020,3474,37735,148,21
11/24/2020,3004,32132,131,14
11/25/2020,2793,24369,123,21
11/26/2020,527,2930,87,23
11/27/2020,2517,18635,121,15
11/28/2020,2103,15605,122,23
11/29/2020,1262,8772,98,21
11/30/2020,4420,33854,141,34
12/1/2020,3139,29203,124,23
12/2/2020,2935,27622,121,28
12/3/2020,2894,25627,138,20
12/4/2020,2860,25666,120,32
12/5/2020,1758,15939,105,25
