time,cases,interview_completed,ct_frac,fhat,fhat_var,fhat_std
1/1/2020,0,0,0,-0.014014399,0.001620726,0.040258241
1/2/2020,0,0,0,-0.011278402,0.001173228,0.034252411
1/3/2020,0,0,0,-0.008465169,0.00087813,0.029633251
1/4/2020,0,0,0,-0.005512135,0.000693476,0.02633393
1/5/2020,9,0,0,-0.0023195,0.00058707,0.024229526
1/6/2020,0,0,0,0.001224565,0.000530308,0.023028421
1/7/2020,1,0,0,0.005242142,0.000504001,0.022449971
1/8/2020,1,0,0,0.009846994,0.000493828,0.022222234
1/9/2020,0,0,0,0.015139443,0.000490985,0.022158188
1/10/2020,0,0,0,0.021181734,0.000491068,0.022160051
1/11/2020,0,0,0,0.027997153,0.000490491,0.022147032
1/12/2020,1,0,0,0.035527432,0.00048991,0.022133908
1/13/2020,0,0,0,0.043646565,0.000487321,0.022075348
1/14/2020,0,0,0,0.052090533,0.000485223,0.022027787
1/15/2020,0,0,0,0.060492959,0.0004817,0.021947665
1/16/2020,0,0,0,0.068288539,0.000479387,0.021894912
1/17/2020,0,0,0,0.074770298,0.000476393,0.021826422
1/18/2020,0,0,0,0.078997592,0.000474668,0.021786875
1/19/2020,1,1,1,0.080214719,0.000472809,0.021744178
1/20/2020,0,0,0,0.078060885,0.000471732,0.021719395
1/21/2020,0,0,0,0.072825468,0.000470952,0.02170142
1/22/2020,0,0,0,0.065497785,0.000470247,0.021685184
1/23/2020,0,0,0,0.056989969,0.000470231,0.021684803
1/24/2020,1,0,0,0.048101593,0.000469634,0.021671033
1/25/2020,0,0,0,0.039440353,0.000470051,0.021680668
1/26/2020,1,0,0,0.031487062,0.000469445,0.021666676
1/27/2020,0,0,0,0.024576013,0.000470023,0.02168002
1/28/2020,0,0,0,0.018963366,0.000469438,0.021666512
1/29/2020,0,0,0,0.014807876,0.000469965,0.021678675
1/30/2020,0,0,0,0.012221132,0.000469509,0.021668161
1/31/2020,0,0,0,0.011254534,0.000469847,0.021675955
2/1/2020,1,0,0,0.011925324,0.00046962,0.021670723
2/2/2020,0,0,0,0.014208224,0.000469696,0.021672468
2/3/2020,0,0,0,0.01803815,0.000469749,0.021673705
2/4/2020,0,0,0,0.023305505,0.000469549,0.021669079
2/5/2020,0,0,0,0.029834306,0.000469873,0.021676543
2/6/2020,0,0,0,0.03738659,0.000469438,0.021666524
2/7/2020,0,0,0,0.045610402,0.000469959,0.021678537
2/8/2020,0,0,0,0.054063685,0.000469385,0.021665296
2/9/2020,0,0,0,0.062128665,0.000469977,0.021678949
2/10/2020,0,0,0,0.069066641,0.000469399,0.021665616
2/11/2020,0,0,0,0.073922518,0.000469914,0.021677502
2/12/2020,1,1,1,0.075907749,0.000469475,0.021667371
2/13/2020,0,0,0,0.074748275,0.000469796,0.021674776
2/14/2020,0,0,0,0.070718645,0.000469596,0.021670169
2/15/2020,0,0,0,0.064842329,0.000469654,0.021671512
2/16/2020,0,0,0,0.058093783,0.000469738,0.021673438
2/17/2020,0,0,0,0.051309964,0.000469521,0.021668437
2/18/2020,0,0,0,0.045147373,0.00046987,0.021676474
2/19/2020,1,0,0,0.040114813,0.000469423,0.021666176
2/20/2020,0,0,0,0.036560905,0.000469958,0.021678518
2/21/2020,1,0,0,0.034729047,0.00046938,0.021665187
2/22/2020,1,0,0,0.034721347,0.000469973,0.02167885
2/23/2020,1,0,0,0.036553749,0.000469402,0.021665687
2/24/2020,2,0,0,0.04010577,0.000469905,0.021677301
2/25/2020,1,0,0,0.045164451,0.000469483,0.021667564
2/26/2020,2,0,0,0.051373699,0.000469784,0.021674511
2/27/2020,3,1,0.333333333,0.058379827,0.000469608,0.02167043
2/28/2020,10,0,0,0.065869402,0.000469643,0.021671237
2/29/2020,18,1,0.055555556,0.073684936,0.00046975,0.021673708
3/1/2020,16,2,0.125,0.081831796,0.000469511,0.021668208
3/2/2020,31,4,0.129032258,0.090355656,0.000469879,0.02167669
3/3/2020,24,3,0.125,0.099337872,0.000469417,0.021666038
3/4/2020,38,4,0.105263158,0.108959282,0.000469962,0.021678618
3/5/2020,51,4,0.078431373,0.119444368,0.00046938,0.02166517
3/6/2020,39,4,0.102564103,0.13099508,0.00046997,0.021678785
3/7/2020,38,5,0.131578947,0.143772389,0.000469407,0.021665794
3/8/2020,61,4,0.06557377,0.157824529,0.000469897,0.021677105
3/9/2020,61,10,0.163934426,0.173101588,0.000469492,0.021667772
3/10/2020,110,11,0.1,0.189386748,0.000469773,0.021674246
3/11/2020,134,17,0.126865672,0.20630981,0.000469619,0.021670696
3/12/2020,179,34,0.189944134,0.223300571,0.000469631,0.021670965
3/13/2020,216,61,0.282407407,0.239660541,0.000469761,0.021673978
3/14/2020,156,55,0.352564103,0.254587413,0.000469502,0.021667987
3/15/2020,108,33,0.305555556,0.267408226,0.000469888,0.021676902
3/16/2020,300,104,0.346666667,0.277571306,0.000469412,0.021665911
3/17/2020,268,89,0.332089552,0.284743882,0.000469966,0.021678708
3/18/2020,289,106,0.366782007,0.288738227,0.000469379,0.021665165
3/19/2020,334,99,0.296407186,0.289581469,0.000469966,0.021678708
3/20/2020,303,91,0.300330033,0.287401928,0.000469412,0.021665911
3/21/2020,197,55,0.279187817,0.282439894,0.000469888,0.021676902
3/22/2020,191,46,0.240837696,0.274954641,0.000469502,0.021667987
3/23/2020,463,130,0.280777538,0.265197938,0.000469761,0.021673978
3/24/2020,438,118,0.269406393,0.253421821,0.000469631,0.021670965
3/25/2020,441,145,0.328798186,0.239884459,0.000469619,0.021670696
3/26/2020,435,97,0.222988506,0.224941731,0.000469773,0.021674246
3/27/2020,463,96,0.207343413,0.209048471,0.000469492,0.021667772
3/28/2020,287,46,0.160278746,0.19269944,0.000469897,0.021677105
